,country,ISO,firstcase,firstdeath,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,freepress,Region,democracy_cat,democracy,stringencyindex,daystomoststingent,C8_International_travel_controls_4,C8_International_travel_controls_3,C8_International_travel_controls_2,C8_International_travel_controls_1,C7_Restrictions_on_internal_movement_2,C7_Restrictions_on_internal_movement_1,C6_Stay_at_home_requirements_3,C6_Stay_at_home_requirements_2,C6_Stay_at_home_requirements_1,C5_Close_public_transport_2,C5_Close_public_transport_1,C4_Restrictions_on_gatherings_4,C4_Restrictions_on_gatherings_3,C4_Restrictions_on_gatherings_2,C4_Restrictions_on_gatherings_1,C3_Cancel_public_events_2,C3_Cancel_public_events_1,C2_Workplace_closing_3,C2_Workplace_closing_2,C2_Workplace_closing_1,C1_School_closing_3,C1_School_closing_2,C1_School_closing_1
67,Iceland,ISL,2020-02-29,2020-03-20,1802.0,0.0,10.0,0.0,5281.0,0.0,29.0,0.0,,,,,,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,15.12,Europe,F,94.0,56.61,20.0,,20.0,-31.0,,,,,,,,,,15.0,,,16.0,,,16.0,,,16.0,
68,Israel,ISR,2020-02-22,2020-03-21,16589.0,10.0,266.0,1.0,1917.0,1.155,31.0,0.11599999999999999,,,,,,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,30.84,MENA,F,76.0,96.03,46.0,19.0,-20.0,,,41.0,24.0,46.0,27.0,24.0,,23.0,22.0,19.0,,11.0,11.0,,39.0,22.0,,20.0,,
69,Italy,ITA,2020-01-31,2020-02-23,223885.0,789.0,31610.0,242.0,3703.0,13.05,523.0,4.003,2944859.0,69179.0,48.706,1.1440000000000001,tests performed,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,23.69,Europe,F,89.0,94.58,72.0,,-1.0,,-8.0,21.0,,49.0,23.0,,72.0,40.0,23.0,,,,23.0,,22.0,,94.0,23.0,,
70,Jamaica,JAM,2020-03-12,2020-03-25,511.0,2.0,9.0,0.0,173.0,0.675,3.0,0.0,,,,,,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,10.51,Americas,F,78.0,85.31,46.0,9.0,-41.0,,,1.0,,1.0,,13.0,,41.0,13.0,6.0,,,-1.0,-2.0,33.0,13.0,6.0,1.0,,
71,Jordan,JOR,2020-03-03,2020-03-29,596.0,10.0,9.0,0.0,58.0,0.98,1.0,0.0,,,,,,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,42.08,MENA,PF,37.0,100.0,15.0,12.0,,,,15.0,,15.0,,,15.0,,15.0,,,,15.0,,15.0,,,12.0,,
72,Japan,JPN,2020-01-15,2020-02-13,16237.0,44.0,725.0,15.0,128.0,0.348,6.0,0.11900000000000001,240368.0,,1.9,,people tested,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,28.86,Asia,F,96.0,53.3,79.0,,17.0,,-8.0,,41.0,,,41.0,,,,,,,,36.0,,,41.0,47.0,,
73,Kazakhstan,KAZ,2020-03-15,2020-03-30,5850.0,279.0,34.0,2.0,312.0,14.859000000000002,2.0,0.107,505216.0,21980.0,26.906999999999996,1.171,tests performed,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,54.11,Eurasia,NF,23.0,84.14,15.0,1.0,,-2.0,,3.0,,4.0,,,4.0,,4.0,,,-3.0,-3.0,,15.0,,,1.0,,
74,Kenya,KEN,2020-03-14,2020-03-27,781.0,23.0,45.0,3.0,15.0,0.428,1.0,0.055999999999999994,,,,,,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,33.72,SSA,PF,48.0,94.18,51.0,11.0,1.0,,-54.0,13.0,,23.0,13.0,,23.0,6.0,-1.0,,,,-1.0,,43.0,,1.0,1.0,,
75,Kyrgyz Republic,KGZ,2020-03-19,2020-04-02,1117.0,6.0,14.0,0.0,171.0,0.92,2.0,0.0,,,,,,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,30.19,Eurasia,PF,39.0,87.31,6.0,-2.0,-5.0,-18.0,-57.0,6.0,3.0,6.0,,-5.0,6.0,,6.0,-2.0,,,-7.0,-21.0,6.0,-2.0,,-3.0,,
76,South Korea,KOR,2020-01-20,2020-02-21,11037.0,19.0,262.0,2.0,215.0,0.371,5.0,0.039,740645.0,13898.0,14.446,0.271,cases tested,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,23.7,Asia,F,83.0,83.46,77.0,,15.0,,,61.0,34.0,,61.0,34.0,,,75.0,62.0,32.0,,32.0,11.0,77.0,62.0,35.0,17.0,14.0,
77,Kuwait,KWT,2020-02-24,2020-04-05,12860.0,885.0,96.0,8.0,3011.0,207.233,22.0,1.8730000000000002,,,,,,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,34.3,MENA,PF,36.0,100.0,76.0,18.0,12.0,6.0,-3.0,42.0,,42.0,27.0,,17.0,,16.0,,,,15.0,12.0,42.0,16.0,,6.0,,
78,Laos,LAO,2020-03-25,,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,64.28,Asia,NF,14.0,97.35,5.0,5.0,1.0,-10.0,,5.0,,,5.0,,5.0,,5.0,,,,5.0,-14.0,5.0,,-14.0,-6.0,-8.0,
79,Lebanon,LBN,2020-02-22,2020-03-11,891.0,5.0,26.0,0.0,131.0,0.733,4.0,0.0,,,,,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,33.19,MENA,PF,44.0,89.41,25.0,23.0,6.0,,-9.0,,23.0,,25.0,23.0,,25.0,25.0,,,,25.0,23.0,25.0,13.0,,7.0,,
80,Liberia,LBR,2020-03-17,2020-04-05,219.0,4.0,20.0,0.0,43.0,0.7909999999999999,4.0,0.0,,,,,,5057677.0,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,32.25,SSA,PF,60.0,80.29,26.0,,-1.0,,-3.0,5.0,,,5.0,,,,5.0,,,,5.0,,26.0,5.0,,0.0,,
81,Libya,LBY,2020-03-25,2020-04-03,64.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,,,,,,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,55.77,MENA,NF,9.0,100.0,23.0,-9.0,,,,-3.0,-9.0,22.0,-3.0,-9.0,-3.0,-9.0,-3.0,,,-11.0,-3.0,-11.0,22.0,,-11.0,-9.0,,
